User ID,User Name,Age Group,Age,Gender,Height (cm),Weight (kg),Body Fat Percentage,Daily Caloric Intake,Workout Type,Workout Duration (min),Weekly Exercise Frequency,Sleep Hours,Goal,Progress,Mood,Hydration
5497,User_5497,56+ (Seniors),62,Non-binary,157,90,29.7,2125,Cycling,76,7,8,Increase Flexibility,Good (70%-89%),Tired,High (>3L)
6981,User_6981,46-55 (Older Adults),53,Female,161,81,36.3,2871,Crossfit,27,4,10,Muscle Gain,Good (70%-89%),Unmotivated,High (>3L)
7407,User_7407,56+ (Seniors),64,Non-binary,171,48,32.2,2699,Cycling,57,7,10,Increase Flexibility,Poor (0%-29%),Bored,High (>3L)
1463,User_1463,56+ (Seniors),62,Non-binary,157,112,12.0,2304,Swimming,77,4,9,Weight Loss,Excellent (90%-100%),Focused,Moderate (2L-3L)
2509,User_2509,18-25 (Young Adults),25,Male,187,90,15.3,1862,Pilates,51,7,9,Maintain Weight,Poor (0%-29%),Tired,Low (<2L)
4790,User_4790,36-45 (Mid-Aged Adults),42,Female,159,73,17.2,2409,Weight Training,67,5,9,Weight Loss,Needs Improvement (30%-49%),Stressed,Low (<2L)
9184,User_9184,18-25 (Young Adults),25,Non-binary,176,76,20.4,3481,Yoga,61,3,7,Weight Loss,Needs Improvement (30%-49%),Unmotivated,Moderate (2L-3L)
2030,User_2030,18-25 (Young Adults),21,Non-binary,153,102,36.0,1998,Crossfit,36,6,8,Increase Flexibility,Poor (0%-29%),Tired,Low (<2L)
2878,User_2878,18-25 (Young Adults),18,Non-binary,155,89,38.1,2436,Crossfit,58,7,8,Muscle Gain,Average (50%-69%),Stressed,Moderate (2L-3L)
5195,User_5195,46-55 (Older Adults),48,Non-binary,189,71,33.1,2676,Walking,60,4,8,Muscle Gain,Needs Improvement (30%-49%),Focused,Low (<2L)
1700,User_1700,18-25 (Young Adults),19,Male,175,49,31.5,1850,HIIT,42,7,6,Muscle Gain,Good (70%-89%),Motivated,Moderate (2L-3L)
7815,User_7815,46-55 (Older Adults),49,Non-binary,184,82,35.4,2543,HIIT,37,3,7,Increase Flexibility,Needs Improvement (30%-49%),Stressed,Moderate (2L-3L)
3001,User_3001,56+ (Seniors),64,Female,183,58,20.4,2246,Yoga,31,6,8,Weight Loss,Average (50%-69%),Relaxed,High (>3L)
9264,User_9264,56+ (Seniors),63,Male,157,96,18.0,2804,HIIT,42,5,7,Weight Loss,Good (70%-89%),Relaxed,High (>3L)
8697,User_8697,46-55 (Older Adults),46,Female,169,102,35.1,2273,Crossfit,37,6,8,Increase Flexibility,Excellent (90%-100%),Stressed,Moderate (2L-3L)
3089,User_3089,56+ (Seniors),58,Non-binary,187,94,24.1,2918,Walking,79,4,6,Weight Loss,Excellent (90%-100%),Focused,Moderate (2L-3L)
9350,User_9350,36-45 (Mid-Aged Adults),39,Male,188,106,14.6,2454,Cycling,59,7,7,Weight Loss,Excellent (90%-100%),Bored,Low (<2L)
5147,User_5147,36-45 (Mid-Aged Adults),37,Female,175,54,38.0,1840,Running,83,5,6,Muscle Gain,Poor (0%-29%),Focused,Moderate (2L-3L)
1058,User_1058,26-35 (Adults),34,Female,164,88,24.4,3100,Weight Training,36,6,7,Maintain Weight,Excellent (90%-100%),Focused,Low (<2L)
1608,User_1608,18-25 (Young Adults),25,Male,160,83,36.1,3250,HIIT,59,6,6,Maintain Weight,Excellent (90%-100%),Focused,Moderate (2L-3L)
6503,User_6503,18-25 (Young Adults),19,Male,172,63,38.6,2822,Crossfit,54,7,8,Maintain Weight,Needs Improvement (30%-49%),Stressed,Low (<2L)
7858,User_7858,36-45 (Mid-Aged Adults),42,Female,158,84,28.7,2701,Walking,53,4,6,Muscle Gain,Needs Improvement (30%-49%),Confident,Low (<2L)
9838,User_9838,36-45 (Mid-Aged Adults),41,Non-binary,179,92,25.1,2487,HIIT,24,4,7,Increase Flexibility,Good (70%-89%),Bored,High (>3L)
9082,User_9082,26-35 (Adults),33,Male,183,114,23.2,2118,Pilates,61,5,10,Weight Loss,Average (50%-69%),Motivated,High (>3L)
6331,User_6331,18-25 (Young Adults),21,Male,184,88,35.2,2626,Pilates,79,3,9,Weight Loss,Poor (0%-29%),Energized,Low (<2L)
6064,User_6064,46-55 (Older Adults),54,Female,165,48,31.5,2048,HIIT,31,5,6,Maintain Weight,Average (50%-69%),Stressed,Moderate (2L-3L)
8716,User_8716,46-55 (Older Adults),47,Female,185,48,37.5,2642,Running,40,3,9,Maintain Weight,Poor (0%-29%),Relaxed,Moderate (2L-3L)
5872,User_5872,18-25 (Young Adults),19,Female,185,98,13.5,2829,HIIT,23,6,6,Maintain Weight,Needs Improvement (30%-49%),Happy,Low (<2L)
2361,User_2361,18-25 (Young Adults),19,Non-binary,168,95,18.0,2922,Yoga,58,6,9,Increase Flexibility,Poor (0%-29%),Tired,Low (<2L)
8837,User_8837,26-35 (Adults),27,Male,178,54,26.4,3369,Yoga,60,4,8,Increase Flexibility,Needs Improvement (30%-49%),Relaxed,High (>3L)
7941,User_7941,36-45 (Mid-Aged Adults),37,Male,173,73,26.4,2093,Running,49,7,6,Increase Flexibility,Poor (0%-29%),Motivated,High (>3L)
1012,User_1012,46-55 (Older Adults),55,Male,150,75,21.3,3237,Yoga,21,4,7,Weight Loss,Average (50%-69%),Relaxed,Moderate (2L-3L)
9410,User_9410,18-25 (Young Adults),20,Non-binary,169,63,16.3,2964,Crossfit,55,3,9,Increase Flexibility,Needs Improvement (30%-49%),Confident,High (>3L)
1457,User_1457,56+ (Seniors),61,Male,185,70,25.5,2873,Running,49,5,7,Maintain Weight,Excellent (90%-100%),Focused,High (>3L)
4651,User_4651,18-25 (Young Adults),21,Female,167,48,10.4,2153,Pilates,72,6,8,Muscle Gain,Average (50%-69%),Confident,High (>3L)
9514,User_9514,26-35 (Adults),28,Male,182,56,27.6,2069,Swimming,47,6,9,Muscle Gain,Excellent (90%-100%),Focused,Moderate (2L-3L)
7620,User_7620,56+ (Seniors),58,Male,172,53,27.9,2968,Walking,82,4,8,Weight Loss,Average (50%-69%),Energized,Moderate (2L-3L)
6340,User_6340,18-25 (Young Adults),19,Male,153,116,28.7,3184,Crossfit,71,6,7,Weight Loss,Needs Improvement (30%-49%),Bored,Low (<2L)
2128,User_2128,18-25 (Young Adults),22,Non-binary,179,70,19.1,2536,Weight Training,25,5,7,Muscle Gain,Poor (0%-29%),Happy,Moderate (2L-3L)
8341,User_8341,46-55 (Older Adults),50,Male,167,91,12.0,2121,Zumba,85,7,8,Increase Flexibility,Good (70%-89%),Bored,Low (<2L)
2633,User_2633,56+ (Seniors),58,Female,187,47,22.1,2025,Swimming,89,5,10,Muscle Gain,Poor (0%-29%),Unmotivated,High (>3L)
3727,User_3727,18-25 (Young Adults),19,Male,171,48,28.2,3499,Zumba,78,6,7,Maintain Weight,Excellent (90%-100%),Confident,Moderate (2L-3L)
7001,User_7001,26-35 (Adults),33,Non-binary,150,106,37.4,3194,Yoga,51,7,7,Maintain Weight,Needs Improvement (30%-49%),Bored,High (>3L)
5948,User_5948,26-35 (Adults),26,Female,159,114,26.7,2624,Walking,44,4,6,Weight Loss,Average (50%-69%),Focused,Moderate (2L-3L)
3719,User_3719,36-45 (Mid-Aged Adults),40,Female,157,60,35.7,2143,Crossfit,49,7,10,Increase Flexibility,Needs Improvement (30%-49%),Energized,High (>3L)
2415,User_2415,26-35 (Adults),32,Non-binary,166,95,24.0,2042,Walking,43,7,7,Maintain Weight,Needs Improvement (30%-49%),Focused,High (>3L)
8886,User_8886,56+ (Seniors),56,Non-binary,179,94,35.4,2027,Running,22,7,7,Increase Flexibility,Poor (0%-29%),Tired,Moderate (2L-3L)
4717,User_4717,56+ (Seniors),58,Non-binary,163,72,31.8,2736,HIIT,78,4,8,Increase Flexibility,Average (50%-69%),Unmotivated,Low (<2L)
6255,User_6255,26-35 (Adults),34,Non-binary,167,63,21.1,2793,Walking,27,4,7,Maintain Weight,Poor (0%-29%),Focused,Low (<2L)
5955,User_5955,46-55 (Older Adults),53,Non-binary,184,89,29.9,3386,HIIT,37,5,6,Muscle Gain,Good (70%-89%),Bored,Moderate (2L-3L)
8317,User_8317,56+ (Seniors),60,Female,158,57,14.2,2016,Walking,83,5,7,Muscle Gain,Average (50%-69%),Stressed,Low (<2L)
3059,User_3059,56+ (Seniors),63,Female,181,100,27.4,2284,Zumba,22,6,10,Weight Loss,Good (70%-89%),Tired,Low (<2L)
3285,User_3285,26-35 (Adults),29,Non-binary,181,55,38.6,2524,Weight Training,81,6,8,Maintain Weight,Good (70%-89%),Focused,Low (<2L)
8756,User_8756,36-45 (Mid-Aged Adults),41,Non-binary,165,62,12.9,2176,Pilates,45,3,9,Muscle Gain,Needs Improvement (30%-49%),Confident,Low (<2L)
7273,User_7273,36-45 (Mid-Aged Adults),45,Non-binary,176,75,34.6,2591,HIIT,22,4,7,Weight Loss,Good (70%-89%),Relaxed,Low (<2L)
3706,User_3706,26-35 (Adults),31,Female,183,69,17.1,2901,Swimming,88,4,7,Muscle Gain,Average (50%-69%),Relaxed,High (>3L)
5442,User_5442,18-25 (Young Adults),24,Non-binary,160,84,13.4,3254,Crossfit,30,7,10,Muscle Gain,Average (50%-69%),Relaxed,Moderate (2L-3L)
1766,User_1766,26-35 (Adults),35,Male,190,50,13.1,2943,Yoga,21,6,7,Maintain Weight,Poor (0%-29%),Happy,High (>3L)
7814,User_7814,36-45 (Mid-Aged Adults),44,Female,182,70,19.0,2100,Pilates,51,4,9,Muscle Gain,Needs Improvement (30%-49%),Focused,High (>3L)
9841,User_9841,36-45 (Mid-Aged Adults),37,Male,154,94,26.3,3472,Weight Training,34,4,7,Increase Flexibility,Needs Improvement (30%-49%),Relaxed,High (>3L)
7779,User_7779,36-45 (Mid-Aged Adults),43,Male,169,61,21.9,2632,Weight Training,73,4,7,Muscle Gain,Poor (0%-29%),Energized,Moderate (2L-3L)
9109,User_9109,18-25 (Young Adults),18,Female,160,45,39.5,2199,Running,27,7,8,Maintain Weight,Needs Improvement (30%-49%),Confident,Low (<2L)
9442,User_9442,18-25 (Young Adults),18,Male,155,89,34.7,2113,Walking,75,6,9,Increase Flexibility,Average (50%-69%),Focused,High (>3L)
7423,User_7423,18-25 (Young Adults),22,Male,161,102,15.2,2956,Walking,87,4,7,Maintain Weight,Good (70%-89%),Focused,Low (<2L)
3945,User_3945,26-35 (Adults),34,Non-binary,162,50,26.9,3179,Pilates,57,7,9,Muscle Gain,Excellent (90%-100%),Bored,Low (<2L)
7803,User_7803,56+ (Seniors),62,Female,187,76,38.5,2454,Crossfit,68,4,8,Muscle Gain,Good (70%-89%),Focused,Moderate (2L-3L)
8356,User_8356,56+ (Seniors),65,Male,159,61,14.2,3255,Yoga,74,5,6,Weight Loss,Needs Improvement (30%-49%),Unmotivated,High (>3L)
8268,User_8268,36-45 (Mid-Aged Adults),44,Non-binary,152,83,35.3,2872,Swimming,79,7,7,Increase Flexibility,Excellent (90%-100%),Bored,High (>3L)
6668,User_6668,56+ (Seniors),58,Male,189,79,29.7,1855,HIIT,84,7,10,Maintain Weight,Average (50%-69%),Focused,Moderate (2L-3L)
7037,User_7037,36-45 (Mid-Aged Adults),40,Non-binary,153,65,15.0,3353,Pilates,72,5,8,Increase Flexibility,Average (50%-69%),Happy,High (>3L)
1918,User_1918,18-25 (Young Adults),19,Non-binary,179,69,22.5,2135,Swimming,77,6,10,Muscle Gain,Average (50%-69%),Unmotivated,High (>3L)
4678,User_4678,18-25 (Young Adults),21,Male,167,120,36.8,2080,Cycling,53,6,8,Muscle Gain,Excellent (90%-100%),Confident,Moderate (2L-3L)
6819,User_6819,56+ (Seniors),62,Female,157,91,26.3,2356,Swimming,85,6,7,Muscle Gain,Needs Improvement (30%-49%),Stressed,Moderate (2L-3L)
2078,User_2078,56+ (Seniors),57,Female,189,97,10.8,3086,Cycling,37,4,10,Muscle Gain,Average (50%-69%),Unmotivated,Moderate (2L-3L)
4169,User_4169,36-45 (Mid-Aged Adults),36,Male,168,71,13.1,1916,Crossfit,70,5,8,Weight Loss,Average (50%-69%),Focused,High (>3L)
3706,User_3706,26-35 (Adults),34,Female,165,102,35.4,2795,Zumba,74,4,7,Muscle Gain,Poor (0%-29%),Bored,Moderate (2L-3L)
6883,User_6883,26-35 (Adults),27,Female,173,62,24.4,2176,HIIT,24,5,8,Muscle Gain,Needs Improvement (30%-49%),Motivated,High (>3L)
4107,User_4107,46-55 (Older Adults),51,Non-binary,188,95,16.7,3126,HIIT,41,7,10,Increase Flexibility,Excellent (90%-100%),Energized,Low (<2L)
3636,User_3636,36-45 (Mid-Aged Adults),37,Female,161,105,26.8,2664,Zumba,75,4,8,Muscle Gain,Excellent (90%-100%),Focused,Moderate (2L-3L)
1143,User_1143,36-45 (Mid-Aged Adults),36,Male,183,85,14.9,2114,Swimming,25,6,7,Weight Loss,Good (70%-89%),Motivated,Moderate (2L-3L)
9214,User_9214,18-25 (Young Adults),24,Male,183,93,24.9,3065,HIIT,21,6,10,Increase Flexibility,Average (50%-69%),Bored,Moderate (2L-3L)
4057,User_4057,56+ (Seniors),59,Male,185,86,25.5,2724,Pilates,30,4,8,Maintain Weight,Excellent (90%-100%),Bored,Moderate (2L-3L)
2585,User_2585,46-55 (Older Adults),55,Male,176,103,14.4,3267,Cycling,86,5,9,Maintain Weight,Poor (0%-29%),Energized,Low (<2L)
2918,User_2918,18-25 (Young Adults),24,Male,161,97,20.1,3197,HIIT,53,7,7,Increase Flexibility,Excellent (90%-100%),Tired,High (>3L)
5498,User_5498,56+ (Seniors),57,Male,154,52,38.9,1890,Pilates,29,4,10,Maintain Weight,Needs Improvement (30%-49%),Happy,High (>3L)
5809,User_5809,36-45 (Mid-Aged Adults),43,Female,163,108,10.5,2025,Walking,62,3,7,Increase Flexibility,Good (70%-89%),Stressed,Moderate (2L-3L)
8600,User_8600,36-45 (Mid-Aged Adults),40,Non-binary,186,81,18.7,1961,Yoga,80,6,8,Muscle Gain,Poor (0%-29%),Focused,Moderate (2L-3L)
9305,User_9305,18-25 (Young Adults),25,Non-binary,184,102,26.4,2185,Walking,61,5,9,Weight Loss,Good (70%-89%),Happy,Low (<2L)
5477,User_5477,36-45 (Mid-Aged Adults),41,Female,175,58,39.8,1960,Crossfit,32,7,8,Muscle Gain,Average (50%-69%),Motivated,Low (<2L)
4925,User_4925,46-55 (Older Adults),54,Non-binary,150,90,27.8,2036,Running,86,4,7,Increase Flexibility,Poor (0%-29%),Relaxed,High (>3L)
6002,User_6002,26-35 (Adults),35,Male,183,78,14.4,2251,Yoga,63,7,10,Maintain Weight,Needs Improvement (30%-49%),Bored,Moderate (2L-3L)
4996,User_4996,56+ (Seniors),59,Female,178,101,35.6,3327,Yoga,44,3,8,Increase Flexibility,Excellent (90%-100%),Energized,Moderate (2L-3L)
7979,User_7979,36-45 (Mid-Aged Adults),41,Female,177,90,21.8,1864,Crossfit,30,6,6,Weight Loss,Good (70%-89%),Tired,High (>3L)
7074,User_7074,26-35 (Adults),27,Male,187,102,34.1,3335,Pilates,87,7,7,Weight Loss,Poor (0%-29%),Happy,Moderate (2L-3L)
2360,User_2360,18-25 (Young Adults),19,Non-binary,179,108,29.6,2159,Yoga,89,6,6,Increase Flexibility,Excellent (90%-100%),Motivated,High (>3L)
5948,User_5948,56+ (Seniors),56,Non-binary,188,96,29.5,2593,Zumba,25,6,6,Muscle Gain,Poor (0%-29%),Bored,Moderate (2L-3L)
1626,User_1626,36-45 (Mid-Aged Adults),44,Female,151,85,12.2,3242,Crossfit,74,4,7,Weight Loss,Good (70%-89%),Happy,Low (<2L)
9370,User_9370,26-35 (Adults),35,Non-binary,155,114,16.1,2736,Weight Training,39,6,8,Maintain Weight,Average (50%-69%),Focused,Low (<2L)
4850,User_4850,36-45 (Mid-Aged Adults),45,Female,183,101,28.8,3217,Zumba,49,3,9,Maintain Weight,Average (50%-69%),Focused,Moderate (2L-3L)
7786,User_7786,18-25 (Young Adults),25,Female,152,98,14.1,2318,Crossfit,53,6,7,Maintain Weight,Good (70%-89%),Stressed,Moderate (2L-3L)
3013,User_3013,56+ (Seniors),57,Non-binary,160,100,39.5,3416,Yoga,63,5,7,Weight Loss,Needs Improvement (30%-49%),Tired,Low (<2L)
1882,User_1882,46-55 (Older Adults),49,Female,183,119,19.8,2354,Swimming,45,7,10,Weight Loss,Poor (0%-29%),Confident,Low (<2L)
5987,User_5987,26-35 (Adults),32,Female,156,80,23.5,1934,HIIT,89,3,8,Maintain Weight,Needs Improvement (30%-49%),Tired,Moderate (2L-3L)
2869,User_2869,26-35 (Adults),29,Non-binary,161,53,27.3,2169,Pilates,52,3,8,Increase Flexibility,Poor (0%-29%),Happy,High (>3L)
3932,User_3932,36-45 (Mid-Aged Adults),44,Female,187,65,23.8,2838,HIIT,77,6,9,Weight Loss,Average (50%-69%),Energized,Low (<2L)
1044,User_1044,46-55 (Older Adults),50,Female,164,52,20.1,1946,Swimming,80,4,10,Muscle Gain,Good (70%-89%),Bored,Moderate (2L-3L)
5339,User_5339,18-25 (Young Adults),25,Non-binary,175,71,34.8,2465,Weight Training,34,7,7,Weight Loss,Needs Improvement (30%-49%),Motivated,Moderate (2L-3L)
3755,User_3755,46-55 (Older Adults),54,Male,179,109,38.7,2002,Yoga,86,4,7,Maintain Weight,Average (50%-69%),Stressed,Low (<2L)
7509,User_7509,36-45 (Mid-Aged Adults),44,Non-binary,183,74,39.0,2386,Swimming,83,6,6,Maintain Weight,Good (70%-89%),Confident,High (>3L)
2351,User_2351,36-45 (Mid-Aged Adults),44,Non-binary,175,58,20.3,2358,Zumba,62,7,6,Maintain Weight,Average (50%-69%),Relaxed,High (>3L)
4604,User_4604,56+ (Seniors),65,Non-binary,176,91,10.3,1943,Running,38,7,9,Weight Loss,Excellent (90%-100%),Tired,High (>3L)
1683,User_1683,36-45 (Mid-Aged Adults),40,Female,175,73,24.9,1817,Weight Training,60,7,7,Increase Flexibility,Excellent (90%-100%),Bored,Low (<2L)
3915,User_3915,46-55 (Older Adults),49,Male,184,69,31.6,2460,Pilates,45,5,6,Weight Loss,Poor (0%-29%),Confident,Low (<2L)
7998,User_7998,46-55 (Older Adults),47,Non-binary,187,97,11.0,2963,Running,73,4,10,Increase Flexibility,Excellent (90%-100%),Relaxed,Moderate (2L-3L)
1676,User_1676,36-45 (Mid-Aged Adults),41,Female,157,64,17.9,2213,Pilates,39,4,7,Muscle Gain,Excellent (90%-100%),Motivated,High (>3L)
6449,User_6449,46-55 (Older Adults),46,Non-binary,153,100,39.7,3129,HIIT,33,7,6,Maintain Weight,Good (70%-89%),Unmotivated,Moderate (2L-3L)
6351,User_6351,26-35 (Adults),32,Male,185,87,34.9,3387,Pilates,55,6,9,Weight Loss,Good (70%-89%),Energized,Moderate (2L-3L)
1654,User_1654,56+ (Seniors),60,Non-binary,153,66,33.4,1855,HIIT,22,4,10,Increase Flexibility,Good (70%-89%),Energized,Moderate (2L-3L)
7515,User_7515,26-35 (Adults),30,Non-binary,166,115,11.2,2189,Yoga,88,6,7,Weight Loss,Average (50%-69%),Motivated,High (>3L)
4891,User_4891,56+ (Seniors),64,Male,153,45,14.6,2265,Weight Training,74,5,7,Increase Flexibility,Good (70%-89%),Relaxed,High (>3L)
2003,User_2003,26-35 (Adults),33,Female,171,62,22.1,2674,Weight Training,29,6,9,Increase Flexibility,Poor (0%-29%),Tired,High (>3L)
8815,User_8815,46-55 (Older Adults),49,Non-binary,179,68,20.4,3498,Walking,28,5,9,Increase Flexibility,Excellent (90%-100%),Tired,Low (<2L)
3144,User_3144,46-55 (Older Adults),49,Male,185,106,18.9,3176,Running,65,3,9,Muscle Gain,Poor (0%-29%),Happy,Moderate (2L-3L)
9578,User_9578,26-35 (Adults),27,Male,158,104,34.2,2299,Cycling,63,3,10,Muscle Gain,Excellent (90%-100%),Stressed,Low (<2L)
4603,User_4603,46-55 (Older Adults),51,Non-binary,175,87,26.6,2717,Walking,51,4,8,Weight Loss,Good (70%-89%),Motivated,Low (<2L)
3924,User_3924,36-45 (Mid-Aged Adults),45,Non-binary,177,95,11.6,3489,Crossfit,68,6,7,Muscle Gain,Poor (0%-29%),Happy,Moderate (2L-3L)
7879,User_7879,46-55 (Older Adults),47,Female,162,49,18.2,3068,Zumba,84,7,9,Weight Loss,Excellent (90%-100%),Energized,Low (<2L)
7016,User_7016,56+ (Seniors),64,Female,152,88,22.2,1846,Walking,42,6,7,Weight Loss,Excellent (90%-100%),Tired,Moderate (2L-3L)
6890,User_6890,36-45 (Mid-Aged Adults),38,Male,186,49,19.3,2794,Running,35,3,10,Weight Loss,Excellent (90%-100%),Energized,High (>3L)
6126,User_6126,36-45 (Mid-Aged Adults),43,Male,188,99,22.6,2154,Running,56,3,6,Muscle Gain,Average (50%-69%),Focused,Moderate (2L-3L)
3428,User_3428,36-45 (Mid-Aged Adults),36,Non-binary,168,49,24.6,3151,Weight Training,78,6,6,Weight Loss,Average (50%-69%),Unmotivated,Moderate (2L-3L)
2567,User_2567,36-45 (Mid-Aged Adults),37,Male,188,119,26.5,2279,Pilates,69,6,10,Weight Loss,Excellent (90%-100%),Tired,Low (<2L)
2373,User_2373,46-55 (Older Adults),49,Female,165,110,12.8,3355,Zumba,86,5,6,Muscle Gain,Poor (0%-29%),Happy,Low (<2L)
6758,User_6758,18-25 (Young Adults),18,Male,155,103,16.3,3032,Swimming,84,3,6,Muscle Gain,Good (70%-89%),Unmotivated,High (>3L)
3017,User_3017,26-35 (Adults),35,Female,189,64,13.6,3143,Zumba,21,6,6,Weight Loss,Good (70%-89%),Tired,High (>3L)
4659,User_4659,56+ (Seniors),65,Male,158,73,28.7,3244,Pilates,66,6,6,Weight Loss,Average (50%-69%),Bored,High (>3L)
3745,User_3745,56+ (Seniors),57,Female,177,80,22.5,3135,Running,63,7,7,Weight Loss,Average (50%-69%),Motivated,Low (<2L)
7855,User_7855,18-25 (Young Adults),21,Female,166,106,27.3,2698,Pilates,72,4,10,Muscle Gain,Poor (0%-29%),Bored,High (>3L)
9375,User_9375,36-45 (Mid-Aged Adults),39,Non-binary,155,45,34.9,2671,Swimming,64,6,10,Increase Flexibility,Good (70%-89%),Relaxed,High (>3L)
8075,User_8075,26-35 (Adults),26,Male,175,111,31.1,3019,Cycling,30,5,8,Muscle Gain,Excellent (90%-100%),Unmotivated,High (>3L)
7397,User_7397,36-45 (Mid-Aged Adults),43,Non-binary,161,107,38.5,1822,Zumba,28,7,9,Increase Flexibility,Good (70%-89%),Confident,Low (<2L)
8455,User_8455,36-45 (Mid-Aged Adults),42,Female,164,60,16.3,3427,Crossfit,22,6,9,Weight Loss,Average (50%-69%),Confident,High (>3L)
9119,User_9119,26-35 (Adults),30,Non-binary,162,56,26.3,3086,Zumba,47,4,10,Increase Flexibility,Good (70%-89%),Confident,Moderate (2L-3L)
9147,User_9147,46-55 (Older Adults),48,Male,151,48,10.5,2016,Crossfit,51,4,7,Maintain Weight,Average (50%-69%),Energized,Low (<2L)
4367,User_4367,26-35 (Adults),32,Non-binary,166,110,21.6,2672,Zumba,31,7,9,Weight Loss,Average (50%-69%),Energized,Moderate (2L-3L)
2211,User_2211,46-55 (Older Adults),55,Male,162,111,18.5,2987,Pilates,63,4,8,Increase Flexibility,Average (50%-69%),Bored,Low (<2L)
8066,User_8066,26-35 (Adults),32,Female,179,83,27.7,2108,Swimming,38,3,7,Increase Flexibility,Excellent (90%-100%),Stressed,Moderate (2L-3L)
5646,User_5646,36-45 (Mid-Aged Adults),41,Non-binary,177,66,23.9,2577,Swimming,23,5,8,Weight Loss,Poor (0%-29%),Focused,High (>3L)
5861,User_5861,56+ (Seniors),65,Female,182,64,22.4,2534,Pilates,76,5,9,Increase Flexibility,Needs Improvement (30%-49%),Energized,Moderate (2L-3L)
6540,User_6540,46-55 (Older Adults),52,Female,153,53,38.0,3383,Crossfit,50,5,8,Increase Flexibility,Excellent (90%-100%),Happy,Low (<2L)
6240,User_6240,36-45 (Mid-Aged Adults),40,Male,171,96,11.9,2926,Walking,21,5,7,Muscle Gain,Good (70%-89%),Relaxed,High (>3L)
5687,User_5687,26-35 (Adults),26,Non-binary,187,51,35.6,2392,Walking,83,6,8,Maintain Weight,Average (50%-69%),Energized,Low (<2L)
5134,User_5134,56+ (Seniors),64,Female,172,114,29.3,1854,Swimming,59,7,7,Muscle Gain,Poor (0%-29%),Focused,Moderate (2L-3L)
7280,User_7280,36-45 (Mid-Aged Adults),41,Male,150,115,27.0,3153,Cycling,44,5,10,Weight Loss,Excellent (90%-100%),Confident,Moderate (2L-3L)
3939,User_3939,56+ (Seniors),63,Female,163,118,24.7,3102,Zumba,79,7,7,Muscle Gain,Poor (0%-29%),Confident,Moderate (2L-3L)
5738,User_5738,46-55 (Older Adults),53,Female,154,79,12.0,1973,Weight Training,81,4,6,Maintain Weight,Poor (0%-29%),Unmotivated,High (>3L)
1170,User_1170,26-35 (Adults),32,Female,171,85,33.3,2568,HIIT,89,7,8,Weight Loss,Good (70%-89%),Unmotivated,Low (<2L)
