Post Content,Followers,User Bio,Age,Location,Hashtags,Engagement,Sentiment
I can't shake this feeling of failure. I feel stuck.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#dreams'],639,0
"Feeling so down, things aren't going well.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#selfcare', '#inspiration']",318,0
So excited about my new adventure in life!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#newbeginnings', '#blessed', '#positivity', '#workout']",1170,1
I can't believe how bad today was. Everything went wrong.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#books', '#life']",1170,0
It's a regular Monday.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#newbeginnings', '#selfcare', '#travel']",526,2
Here's a picture of my new lunch. #yum,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#positivity', '#blessed', '#inspiration']",570,2
Went to a coffee shop today. The vibe was nice.,703,Just another social media user.,34,New York,['#blessed'],467,2
"Feeling so down, things aren't going well.",33142,Lifestyle guru and content creator.,30,London,"['#positivity', '#weekend', '#love']",299,0
I can't shake this feeling of failure. I feel stuck.,703,Just another social media user.,34,New York,['#hate'],851,0
Spent the afternoon doing some reading. A pretty chill day.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#adventure', '#grateful', '#dreams']",1111,2
I just finished reading an amazing book that changed my perspective!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#workout', '#tech']",1265,1
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#weekend', '#adventure', '#travel', '#food']",291,2
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#positivity', '#lifeisgood']",1178,1
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#positivity'],345,2
I can't believe how far I've come. So grateful!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#newbeginnings']",731,1
I regret my decision. This was a terrible choice.,33142,Lifestyle guru and content creator.,30,London,"['#positivity', '#hate']",1104,0
Spent the afternoon doing some reading. A pretty chill day.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#blessed'],879,2
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,['#travel'],447,2
I regret my decision. This was a terrible choice.,33142,Lifestyle guru and content creator.,30,London,"['#motivation', '#dreams', '#grateful', '#inspiration']",611,0
I just took a walk in the park. Feeling good.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#books', '#food']",528,2
It's a regular Monday.,703,Just another social media user.,34,New York,"['#newbeginnings', '#tech']",918,2
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#food', '#weekend']",576,2
Started a new project today. Let's see how it goes.,33142,Lifestyle guru and content creator.,30,London,"['#books', '#motivation', '#workout', '#blessed']",355,2
"So proud of my progress, everything is falling into place!",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#weekend'],971,1
I can't believe how bad today was. Everything went wrong.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#workout', '#life', '#selfcare', '#blessed']",809,0
Spent the afternoon doing some reading. A pretty chill day.,703,Just another social media user.,34,New York,"['#weekend', '#newbeginnings']",818,2
Spent the afternoon doing some reading. A pretty chill day.,33142,Lifestyle guru and content creator.,30,London,['#life'],1206,2
Everything is falling apart and I don't know what to do.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#fitness', '#dreams']",798,0
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#tech', '#books', '#adventure']",1188,1
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#hate', '#tech', '#fitness', '#dreams']",1381,1
I can't believe how far I've come. So grateful!,33142,Lifestyle guru and content creator.,30,London,['#travel'],1224,1
"No matter what I do, nothing seems to work out.",703,Just another social media user.,34,New York,['#travel'],1232,0
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,"['#motivation', '#newbeginnings', '#books']",832,2
I can't believe how far I've come. So grateful!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#inspiration', '#weekend', '#newbeginnings', '#dreams']",795,1
"No matter what I do, nothing seems to work out.",703,Just another social media user.,34,New York,"['#selfcare', '#inspiration']",876,0
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#motivation'],689,2
I just finished reading an amazing book that changed my perspective!,703,Just another social media user.,34,New York,"['#tech', '#travel']",1103,1
It's a regular Monday.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#tech'],1110,2
I regret my decision. This was a terrible choice.,703,Just another social media user.,34,New York,"['#life', '#positivity', '#books', '#travel']",1160,0
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#adventure'],898,1
Everything is falling apart and I don't know what to do.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#grateful'],395,0
"Feeling so down, things aren't going well.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#motivation', '#blessed', '#food']",1096,0
I regret my decision. This was a terrible choice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#newbeginnings', '#positivity', '#adventure']",686,0
"Feeling so down, things aren't going well.",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#love']",978,0
This has been the worst week ever. I need a break!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#tech', '#motivation']",530,0
This has been the worst week ever. I need a break!,703,Just another social media user.,34,New York,['#books'],460,0
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#positivity'],1241,1
Life is so beautiful right now!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#hate', '#motivation']",1009,1
Catch me at the gym later today.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#workout', '#hate', '#newbeginnings', '#adventure']",461,2
I just took a walk in the park. Feeling good.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#weekend'],244,2
It's a regular Monday.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#workout', '#blessed']",843,2
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#life', '#positivity', '#newbeginnings']",1458,1
"No matter what I do, nothing seems to work out.",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#fitness', '#newbeginnings', '#adventure']",391,0
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#weekend'],1014,1
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#books']",679,2
I can't shake this feeling of failure. I feel stuck.,703,Just another social media user.,34,New York,"['#fitness', '#selfcare', '#lifeisgood']",606,0
"Feeling so down, things aren't going well.",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#newbeginnings', '#positivity', '#hate']",780,0
This has been the worst week ever. I need a break!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#inspiration']",929,0
It's a regular Monday.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#grateful', '#selfcare']",492,2
Just got my dream job! Feeling on top of the world!,703,Just another social media user.,34,New York,"['#hate', '#love', '#fitness']",749,1
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#love', '#selfcare']",820,2
"Feeling so down, things aren't going well.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#positivity', '#adventure']",1083,0
It's a regular Monday.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#grateful', '#love', '#selfcare']",332,2
I can't shake this feeling of failure. I feel stuck.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#blessed', '#workout', '#travel']",1103,0
I just took a walk in the park. Feeling good.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#lifeisgood', '#tech', '#fitness']",739,2
Started a new project today. Let's see how it goes.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#food', '#weekend', '#life']",527,2
"No matter what I do, nothing seems to work out.",703,Just another social media user.,34,New York,"['#fitness', '#dreams', '#food']",533,0
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#grateful', '#weekend', '#dreams', '#motivation']",671,2
I just took a walk in the park. Feeling good.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#lifeisgood', '#love']",611,2
So excited about my new adventure in life!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#inspiration', '#tech', '#lifeisgood', '#dreams']",484,1
Everything is falling apart and I don't know what to do.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#motivation', '#inspiration', '#hate']",756,0
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#grateful']",562,2
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#grateful', '#travel', '#fitness']",1022,1
Life is so beautiful right now!,33142,Lifestyle guru and content creator.,30,London,"['#books', '#fitness', '#travel']",1216,1
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#tech', '#weekend', '#newbeginnings']",650,2
Today was amazing! I’m so grateful for everything.,33142,Lifestyle guru and content creator.,30,London,['#motivation'],567,1
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#fitness', '#tech', '#adventure']",493,2
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#tech', '#newbeginnings', '#life']",896,1
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#positivity', '#newbeginnings', '#dreams', '#inspiration']",538,2
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#adventure', '#fitness']",1272,1
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#tech', '#newbeginnings', '#weekend']",727,1
"Feeling so down, things aren't going well.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#newbeginnings', '#grateful', '#love', '#adventure']",868,0
This has been the worst week ever. I need a break!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#love', '#newbeginnings']",852,0
Spent the afternoon doing some reading. A pretty chill day.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#tech']",832,2
Just finished a long day at work. Time to relax.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#inspiration', '#positivity']",641,2
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#blessed'],443,2
I regret my decision. This was a terrible choice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#inspiration']",566,0
Disappointed with the way things are turning out.,703,Just another social media user.,34,New York,"['#newbeginnings', '#adventure', '#inspiration', '#grateful']",840,0
I can't shake this feeling of failure. I feel stuck.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#fitness'],1012,0
So excited about my new adventure in life!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#blessed', '#dreams', '#adventure', '#grateful']",1303,1
It's a regular Monday.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#inspiration', '#hate']",753,2
So excited about my new adventure in life!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#blessed'],1423,1
Went to a coffee shop today. The vibe was nice.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#food'],494,2
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#inspiration', '#food', '#adventure']",653,1
So excited about my new adventure in life!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#motivation', '#inspiration']",1428,1
Today was amazing! I’m so grateful for everything.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#weekend'],858,1
I can't believe how far I've come. So grateful!,703,Just another social media user.,34,New York,"['#weekend', '#positivity', '#dreams', '#travel']",1229,1
This has been the worst week ever. I need a break!,33142,Lifestyle guru and content creator.,30,London,['#blessed'],666,0
Life is so beautiful right now!,703,Just another social media user.,34,New York,"['#fitness', '#selfcare', '#travel', '#newbeginnings']",1214,1
I just took a walk in the park. Feeling good.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#newbeginnings', '#food', '#inspiration']",214,2
This has been the worst week ever. I need a break!,703,Just another social media user.,34,New York,"['#lifeisgood', '#blessed', '#newbeginnings', '#adventure']",1012,0
I regret my decision. This was a terrible choice.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#newbeginnings', '#fitness', '#life']",347,0
Started a new project today. Let's see how it goes.,33142,Lifestyle guru and content creator.,30,London,"['#motivation', '#selfcare', '#weekend', '#adventure']",1094,2
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#motivation', '#hate']",298,2
Catch me at the gym later today.,703,Just another social media user.,34,New York,"['#tech', '#newbeginnings', '#love', '#life']",362,2
Disappointed with the way things are turning out.,33142,Lifestyle guru and content creator.,30,London,"['#selfcare', '#travel', '#fitness']",394,0
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#grateful', '#food']",1425,1
Just got my dream job! Feeling on top of the world!,703,Just another social media user.,34,New York,"['#positivity', '#workout', '#tech', '#selfcare']",1100,1
Just finished a long day at work. Time to relax.,33142,Lifestyle guru and content creator.,30,London,"['#hate', '#weekend', '#selfcare', '#fitness']",534,2
Life is so beautiful right now!,703,Just another social media user.,34,New York,"['#blessed', '#newbeginnings', '#adventure', '#positivity']",549,1
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,['#adventure'],1577,1
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#selfcare', '#weekend']",776,2
Started a new project today. Let's see how it goes.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#adventure'],447,2
Here's a picture of my new lunch. #yum,33142,Lifestyle guru and content creator.,30,London,['#adventure'],979,2
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#tech', '#selfcare', '#hate']",526,2
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,['#travel'],338,0
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#travel', '#books']",712,2
Life is so beautiful right now!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#food']",428,1
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#fitness', '#hate', '#positivity']",902,2
Spent the afternoon doing some reading. A pretty chill day.,703,Just another social media user.,34,New York,"['#lifeisgood', '#weekend']",515,2
I can't believe how far I've come. So grateful!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#inspiration', '#weekend', '#hate', '#food']",1098,1
Here's a picture of my new lunch. #yum,33142,Lifestyle guru and content creator.,30,London,"['#workout', '#lifeisgood', '#fitness', '#hate']",930,2
Here's a picture of my new lunch. #yum,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#adventure', '#tech', '#selfcare', '#food']",776,2
Disappointed with the way things are turning out.,703,Just another social media user.,34,New York,"['#love', '#hate', '#newbeginnings', '#weekend']",1225,0
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#food', '#selfcare', '#dreams', '#life']",282,2
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,['#motivation'],1323,1
This has been the worst week ever. I need a break!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#life', '#inspiration', '#books']",564,0
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,"['#grateful', '#positivity', '#travel', '#food']",952,1
Nothing beats the feeling of accomplishing your goals!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#positivity', '#fitness', '#life']",689,1
Disappointed with the way things are turning out.,33142,Lifestyle guru and content creator.,30,London,"['#grateful', '#adventure']",931,0
Today was amazing! I’m so grateful for everything.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#motivation'],661,1
Life is so beautiful right now!,33142,Lifestyle guru and content creator.,30,London,"['#adventure', '#inspiration', '#dreams', '#workout']",1168,1
So excited about my new adventure in life!,703,Just another social media user.,34,New York,['#love'],1395,1
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#dreams', '#weekend', '#travel']",1041,1
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#lifeisgood']",1028,1
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#motivation'],593,0
Nothing beats the feeling of accomplishing your goals!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#travel', '#food', '#motivation']",828,1
So excited about my new adventure in life!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#motivation', '#inspiration', '#lifeisgood']",698,1
Here's a picture of my new lunch. #yum,703,Just another social media user.,34,New York,"['#workout', '#selfcare', '#motivation']",249,2
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#motivation', '#newbeginnings']",1024,1
Just finished a long day at work. Time to relax.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#newbeginnings', '#love']",667,2
Today was amazing! I’m so grateful for everything.,33142,Lifestyle guru and content creator.,30,London,"['#tech', '#love', '#grateful']",732,1
I just finished reading an amazing book that changed my perspective!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#fitness', '#tech', '#food']",507,1
Nothing beats the feeling of accomplishing your goals!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#hate', '#workout', '#dreams']",1328,1
It's a regular Monday.,703,Just another social media user.,34,New York,"['#selfcare', '#books', '#grateful', '#love']",880,2
Nothing beats the feeling of accomplishing your goals!,703,Just another social media user.,34,New York,"['#life', '#fitness']",1090,1
Just got my dream job! Feeling on top of the world!,703,Just another social media user.,34,New York,"['#selfcare', '#books', '#blessed']",845,1
Life is so beautiful right now!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#adventure', '#positivity', '#love']",745,1
This has been the worst week ever. I need a break!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#dreams', '#love', '#lifeisgood', '#food']",255,0
I regret my decision. This was a terrible choice.,33142,Lifestyle guru and content creator.,30,London,['#food'],539,0
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#newbeginnings']",1078,1
Everything is falling apart and I don't know what to do.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#lifeisgood', '#blessed']",264,0
This has been the worst week ever. I need a break!,703,Just another social media user.,34,New York,['#weekend'],845,0
It's a regular Monday.,703,Just another social media user.,34,New York,"['#hate', '#life']",676,2
Life is so beautiful right now!,703,Just another social media user.,34,New York,"['#inspiration', '#workout']",716,1
I can't believe how bad today was. Everything went wrong.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#positivity', '#fitness', '#life', '#newbeginnings']",830,0
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,"['#love', '#lifeisgood', '#food']",1148,1
"No matter what I do, nothing seems to work out.",703,Just another social media user.,34,New York,"['#inspiration', '#love', '#newbeginnings', '#lifeisgood']",442,0
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#books']",1363,1
This has been the worst week ever. I need a break!,703,Just another social media user.,34,New York,"['#books', '#lifeisgood', '#love', '#tech']",689,0
I just took a walk in the park. Feeling good.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#lifeisgood', '#dreams', '#books']",622,2
Everything is falling apart and I don't know what to do.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#inspiration', '#fitness', '#life']",319,0
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#newbeginnings', '#fitness']",616,0
Started a new project today. Let's see how it goes.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#inspiration', '#positivity', '#books']",266,2
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#adventure', '#food']",849,1
Nothing beats the feeling of accomplishing your goals!,703,Just another social media user.,34,New York,['#motivation'],788,1
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,"['#hate', '#fitness', '#motivation']",578,0
Just finished a long day at work. Time to relax.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#fitness', '#adventure']",685,2
I can't believe how bad today was. Everything went wrong.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#food'],997,0
"So proud of my progress, everything is falling into place!",703,Just another social media user.,34,New York,"['#food', '#workout']",963,1
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#positivity', '#adventure', '#lifeisgood', '#inspiration']",1143,1
Started a new project today. Let's see how it goes.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#travel', '#dreams']",700,2
I can't believe how bad today was. Everything went wrong.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#positivity', '#workout', '#hate', '#books']",538,0
This has been the worst week ever. I need a break!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#tech'],987,0
I regret my decision. This was a terrible choice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#blessed']",773,0
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,"['#food', '#inspiration', '#love', '#life']",516,2
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#travel', '#lifeisgood', '#workout']",1173,1
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#life'],881,1
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,['#weekend'],521,2
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#weekend'],962,2
"Feeling so down, things aren't going well.",703,Just another social media user.,34,New York,"['#inspiration', '#blessed', '#fitness', '#travel']",1053,0
"No matter what I do, nothing seems to work out.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#selfcare', '#inspiration']",374,0
Everything is falling apart and I don't know what to do.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#motivation', '#grateful', '#hate']",242,0
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#lifeisgood', '#newbeginnings', '#hate']",245,2
Catch me at the gym later today.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#motivation', '#books', '#fitness']",598,2
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,"['#motivation', '#life', '#positivity']",897,2
I can't believe how far I've come. So grateful!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#selfcare', '#blessed']",1223,1
I just finished reading an amazing book that changed my perspective!,33142,Lifestyle guru and content creator.,30,London,"['#lifeisgood', '#blessed', '#weekend', '#workout']",1261,1
